"ID","NOM","NOM_M","INSEE_COM","STATUT","POPULATION","INSEE_CAN","INSEE_ARR","INSEE_DEP","INSEE_REG","SIREN_EPCI"
"COMMUNE_0000002324290054","Culoz-Béon","CULOZ-BEON","01138","Commune simple",3426,"10","1","01","84","200040350"
"COMMUNE_0000000009751205","Pizay","PIZAY","01297","Commune simple",890,"12","2","01","84","240100610"
"COMMUNE_0000000009750692","L'Abergement-de-Varey","L'ABERGEMENT-DE-VAREY","01002","Commune simple",262,"01","1","01","84","240100883"
"COMMUNE_0000000009750946","Châtillon-la-Palud","CHATILLON-LA-PALUD","01092","Commune simple",1622,"07","2","01","84","200069193"
"COMMUNE_0000000009749292","Gex","GEX","01173","Sous-préfecture",13177,"09","3","01","84","240100750"
"COMMUNE_0000000009750230","Saint-André-sur-Vieux-Jonc","SAINT-ANDRE-SUR-VIEUX-JONC","01336","Commune simple",1187,"07","2","01","84","200071751"
"COMMUNE_0000000009749740","Bellignat","BELLIGNAT","01031","Commune simple",3671,"14","4","01","84","200042935"
"COMMUNE_0000000009749736","Échallon","ECHALLON","01152","Commune simple",756,"14","4","01","84","200042935"
"COMMUNE_0000000009749730","Thoiry","THOIRY","01419","Commune simple",6119,"20","3","01","84","240100750"
"COMMUNE_0000000009750478","Saint-Trivier-sur-Moignans","SAINT-TRIVIER-SUR-MOIGNANS","01389","Commune simple",1823,"22","2","01","84","200069193"
"COMMUNE_0000000009750208","Les Neyrolles","LES NEYROLLES","01274","Commune simple",632,"14","4","01","84","200042935"
"COMMUNE_0000000009750943","Ambutrix","AMBUTRIX","01008","Commune simple",768,"01","1","01","84","240100883"
"COMMUNE_0000000009751471","Montluel","MONTLUEL","01262","Commune simple",6864,"12","2","01","84","240100610"
"COMMUNE_0000000009751452","Lompnas","LOMPNAS","01219","Commune simple",162,"11","1","01","84","240100883"
"COMMUNE_0000000009749545","Bény","BENY","01038","Commune simple",759,"18","2","01","84","200071751"
"COMMUNE_0000000009749749","Nivigne et Suran","NIVIGNE ET SURAN","01095","Commune simple",843,"18","2","01","84","200071751"
"COMMUNE_0000000009749535","Pouillat","POUILLAT","01309","Commune simple",83,"18","2","01","84","200071751"
"COMMUNE_0000000009750969","Beauregard","BEAUREGARD","01030","Commune simple",821,"21","2","01","84","200042497"
"COMMUNE_0000000009751750","Thil","THIL","01418","Commune simple",1103,"13","2","01","84","240100800"
"COMMUNE_0000000009749958","Béard-Géovreissiat","BEARD-GEOVREISSIAT","01170","Commune simple",1044,"14","4","01","84","200042935"
"COMMUNE_0000000009749114","Chavannes-sur-Reyssouze","CHAVANNES-SUR-REYSSOUZE","01094","Commune simple",761,"17","2","01","84","200071371"
"COMMUNE_0000000009749756","Mézériat","MEZERIAT","01246","Commune simple",2204,"23","2","01","84","200070555"
